Territory,WHO region,Transmission zone,Year,Week,Start date,End date,Collected,Processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (total),B (Yamagata),B (Victoria),B (not subtyped),B (total),Total positive,Total negative,ILI activity
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,1,2019-12-30,2020-01-05,41,41, ,1,9,0,0,10,0,0,0,0,10,31,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,2,2020-01-06,2020-01-12,83,83, ,0,0,0,0,0,0,2,0,2,2,81,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,3,2020-01-13,2020-01-19,82,82, ,8,9,0,0,17,1,0,0,1,18,64,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,4,2020-01-20,2020-01-26,106,106, ,5,11,0,0,16,1,3,0,4,20,86,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,5,2020-01-27,2020-02-02,81,81, ,3,9,0,0,12,0,6,0,6,18,63,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,6,2020-02-03,2020-02-09,97,97, ,8,9,0,0,17,0,5,0,5,22,75,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,7,2020-02-10,2020-02-16,116,116, ,2,4,0,0,6,0,1,0,1,7,109,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,8,2020-02-17,2020-02-23,114,114, ,1,2,0,0,3,0,0,0,0,3,111,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,9,2020-02-24,2020-03-01,67,67, ,0,0,0,0,0,0,0,0,0,0,67,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,10,2020-03-02,2020-03-08,107,107, ,0,0,0,0,0,0,2,0,2,2,105,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,11,2020-03-09,2020-03-15,78,78, ,0,0,0,0,0,0,0,0,0,0,78,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,12,2020-03-16,2020-03-22,54,54, ,0,0,0,0,0,0,0,0,0,0,54,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,13,2020-03-23,2020-03-29,89,89, ,0,0,0,0,0,0,0,0,0,0,89,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,14,2020-03-30,2020-04-05,7,7, ,0,0,0,0,0,0,0,0,0,0,7,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,15,2020-04-06,2020-04-12,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,16,2020-04-13,2020-04-19,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,17,2020-04-20,2020-04-26,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,18,2020-04-27,2020-05-03,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,19,2020-05-04,2020-05-10,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,20,2020-05-11,2020-05-17,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,21,2020-05-18,2020-05-24,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,22,2020-05-25,2020-05-31,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,23,2020-06-01,2020-06-07,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,24,2020-06-08,2020-06-14,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,25,2020-06-15,2020-06-21,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,26,2020-06-22,2020-06-28,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,27,2020-06-29,2020-07-05,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,28,2020-07-06,2020-07-12,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,29,2020-07-13,2020-07-19,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,30,2020-07-20,2020-07-26,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,31,2020-07-27,2020-08-02,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,32,2020-08-03,2020-08-09,0,0, ,0,0,0,0,0,0,0,0,0,0, ,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,33,2020-08-10,2020-08-16,2,2, ,0,0,0,0,0,0,0,0,0,0,2,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,34,2020-08-17,2020-08-23,5,5, ,0,0,0,0,0,0,0,0,0,0,5,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,35,2020-08-24,2020-08-30,11,11, ,0,0,0,0,0,0,0,0,0,0,10,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,36,2020-08-31,2020-09-06,26,26, ,0,0,0,0,0,0,0,0,0,0,26,No Report
Afghanistan,Eastern Mediterranean Region of WHO,Southern Asia,2020,37,2020-09-07,2020-09-13,10,10, ,0,0,0,0,0,0,0,0,0,0,10,No Report
